,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
2732,2732,004078,金信民发货币B,货币型,2021-09-22,0.0,0.17,0.5,1.05,1.44
2745,2745,004097,农银汇理日日鑫交易型货币A,货币型,2021-09-22,0.0,0.18,0.53,1.07,1.59
2758,2758,004120,国富安享货币,货币型,2021-09-22,0.0,0.2,0.57,1.17,1.75
2759,2759,004121,兴银现金添利,货币型,2021-09-22,0.0,0.16,0.49,0.99,1.51
2770,2770,004133,中航航行宝货币,货币型,2021-09-22,0.0,0.15,0.47,0.95,1.42
2774,2774,004137,博时合惠货币B,货币型,2021-09-22,0.0,0.21,0.65,1.32,1.97
2783,2783,004151,先锋日添利A,货币型,2021-09-22,0.0,0.25,0.67,1.28,1.85
2784,2784,004152,先锋日添利B,货币型,2021-09-22,0.0,0.27,0.71,1.35,1.96
2792,2792,004167,安信活期宝货币B,货币型,2021-09-22,0.0,0.21,0.62,1.25,1.88
2808,2808,004198,华富天益货币A,货币型,2021-09-22,0.0,0.17,0.52,1.05,1.58
2809,2809,004199,华富天益货币B,货币型,2021-09-22,0.0,0.19,0.59,1.19,1.77
2815,2815,004210,前海开源货币E,货币型,2021-09-22,0.0,0.15,0.47,0.95,1.44
2818,2818,004216,兴业安润货币A,货币型,2021-09-22,0.0,0.2,0.56,1.13,1.62
2819,2819,004217,兴业安润货币B,货币型,2021-09-22,0.0,0.22,0.62,1.25,1.79
2863,2863,004282,博时兴荣货币B,货币型,2021-09-22,0.0,0.16,0.5,1.0,1.51
2865,2865,004285,华富天盈货币A,货币型,2021-09-22,0.0,0.14,0.43,0.89,1.36
2866,2866,004286,华富天盈货币B,货币型,2021-09-22,0.0,0.16,0.49,1.01,1.54
2878,2878,004330,太平日日鑫货币A,货币型,2021-09-22,0.0,0.16,0.49,1.03,1.53
2879,2879,004331,太平日日鑫货币B,货币型,2021-09-22,0.0,0.18,0.55,1.15,1.71
2905,2905,004368,前海开源聚财宝A,货币型,2021-09-22,0.0,0.19,0.57,1.15,1.74
2906,2906,004369,前海开源聚财宝B,货币型,2021-09-22,0.0,0.2,0.59,1.2,1.8
2907,2907,004372,金鹰增益货币A,货币型,2021-09-22,0.0,0.19,0.55,1.12,1.66
2908,2908,004373,金鹰增益货币B,货币型,2021-09-22,0.0,0.2,0.6,1.22,1.8
2918,2918,004398,融通现金宝货币B,货币型,2021-09-22,0.0,0.18,0.54,1.08,1.63
2919,2919,004399,融通汇财宝货币E,货币型,2021-09-22,0.0,0.18,0.56,1.15,1.71
2932,2932,004417,兴全货币B,货币型,2021-09-22,0.0,0.21,0.63,1.28,1.92
2953,2953,004449,上银慧增利货币,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.76
2978,2978,004493,华泰保兴货币A,货币型,2021-09-22,0.0,0.16,0.49,1.01,1.51
2979,2979,004494,华泰保兴货币B,货币型,2021-09-22,0.0,0.18,0.55,1.13,1.69
2984,2984,004502,中银如意宝货币A,货币型,2021-09-22,0.0,0.19,0.57,1.16,1.73
3000,3000,004545,永赢天天利货币A,货币型,2021-09-22,0.0,0.2,0.6,1.25,1.85
3005,3005,004553,中信建投凤凰货币B,货币型,2021-09-22,0.0,0.17,0.58,1.24,1.74
3014,3014,004568,长城工资宝货币B,货币型,2021-09-22,0.0,0.2,0.58,1.18,1.7
3022,3022,004589,民生加银腾元宝货币B,货币型,2021-09-22,0.0,0.21,0.61,1.26,1.89
3070,3070,004684,鹏华盈余宝货币A,货币型,2021-09-22,0.0,0.08,0.3,0.57,0.97
3080,3080,004699,前海联合汇盈货币A,货币型,2021-09-22,0.0,0.11,0.38,0.81,1.26
3081,3081,004700,前海联合汇盈货币B,货币型,2021-09-22,0.0,0.13,0.45,0.93,1.44
3082,3082,004701,鹏华盈余宝货币B,货币型,2021-09-22,0.0,0.11,0.37,0.7,1.15
3092,3092,004717,万家天添宝货币A,货币型,2021-09-22,0.0,0.17,0.52,1.08,1.63
3093,3093,004718,万家天添宝货币B,货币型,2021-09-22,0.0,0.19,0.57,1.18,1.77
3122,3122,004749,华泰紫金天天金交易型货币B,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.59
3134,3134,004776,鹏华金元宝货币,货币型,2021-09-22,0.0,0.2,0.61,1.23,1.87
3138,3138,004786,渤海汇金汇添金货币A,货币型,2021-09-22,0.0,0.15,0.46,0.93,1.36
3139,3139,004787,渤海汇金汇添金货币B,货币型,2021-09-22,0.0,0.17,0.52,1.06,1.54
3174,3174,004841,博时合惠货币A,货币型,2021-09-22,0.0,0.19,0.59,1.2,1.8
3188,3188,004860,华泰紫金零钱宝货币,货币型,2021-09-22,0.0,0.18,0.55,1.12,1.67
3189,3189,004861,泰康现金管家货币A,货币型,2021-09-22,0.0,0.21,0.51,0.99,1.48
3190,3190,004862,泰康现金管家货币B,货币型,2021-09-22,0.0,0.23,0.57,1.11,1.65
3191,3191,004863,泰康现金管家货币C,货币型,2021-09-22,0.0,0.23,0.57,1.11,1.65
3192,3192,004865,格林货币A,货币型,2021-09-22,0.0,0.19,0.53,1.09,1.59
3193,3193,004866,格林货币B,货币型,2021-09-22,0.0,0.21,0.59,1.21,1.77
3195,3195,004869,中融日日盈交易型货币B,货币型,2021-09-22,0.0,0.18,0.52,1.07,1.59
3216,3216,004896,鹏华兴鑫宝货币,货币型,2021-09-22,0.0,0.18,0.54,1.12,1.65
3222,3222,004903,人保货币A,货币型,2021-09-22,0.0,0.16,0.49,0.95,1.42
3223,3223,004904,人保货币B,货币型,2021-09-22,0.0,0.18,0.55,1.08,1.59
3268,3268,004967,红土创新货币A,货币型,2021-09-22,0.0,0.16,0.45,0.97,1.41
3269,3269,004968,红土创新货币B,货币型,2021-09-22,0.0,0.18,0.51,1.1,1.59
3270,3270,004970,南方天天宝货币A,货币型,2021-09-22,0.0,0.17,0.52,1.08,1.62
3271,3271,004971,南方天天宝货币B,货币型,2021-09-22,0.0,0.19,0.58,1.2,1.79
3272,3272,004972,长城收益宝货币A,货币型,2021-09-22,0.0,0.21,0.63,1.29,1.92
3273,3273,004973,长城收益宝货币B,货币型,2021-09-22,0.0,0.23,0.69,1.41,2.1
3280,3280,004983,鹏扬现金通利货币A,货币型,2021-09-22,0.0,0.15,0.47,0.98,1.47
3281,3281,004984,鹏扬现金通利货币B,货币型,2021-09-22,0.0,0.16,0.52,1.08,1.62
3282,3282,004985,博时合晶货币,货币型,2021-09-22,0.0,0.12,0.37,0.72,1.11
3330,3330,005056,东方红货币A,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.56
3331,3331,005057,东方红货币B,货币型,2021-09-22,0.0,0.19,0.57,1.18,1.74
3332,3332,005058,东方红货币E,货币型,2021-09-22,0.0,0.18,0.55,1.13,1.67
3361,3361,005107,广发添利货币ETFB,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.75
3379,3379,005134,长信长金通货币A,货币型,2021-09-22,0.0,0.18,0.54,1.12,1.66
3380,3380,005135,长信长金通货币B,货币型,2021-09-22,0.0,0.2,0.58,1.19,1.76
3392,3392,005150,红土创新优淳货币A,货币型,2021-09-22,0.0,0.17,0.53,1.08,1.66
3393,3393,005151,红土创新优淳货币B,货币型,2021-09-22,0.0,0.19,0.59,1.2,1.84
3400,3400,005162,中银如意宝货币B,货币型,2021-09-22,0.0,0.19,0.57,1.16,1.73
